,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,date,state,fips,cases,deaths
0,3.0,2.0,13.0,3.0,-1.0,0.0,2020-02-15,Arizona,4,1,0
1,1.0,1.0,19.0,1.0,-1.0,0.0,2020-02-15,California,6,7,0
2,4.0,3.0,10.0,3.0,3.0,-1.0,2020-02-15,Illinois,17,2,0
3,2.0,-4.0,0.0,3.0,-2.0,0.0,2020-02-15,Massachusetts,25,1,0
4,3.0,3.0,12.0,3.0,1.0,-1.0,2020-02-15,Texas,48,2,0
5,2.0,-1.0,8.0,8.0,-3.0,0.0,2020-02-15,Washington,53,1,0
6,7.0,6.0,22.0,3.0,3.0,-1.0,2020-02-15,Wisconsin,55,1,0
7,7.0,3.0,30.0,3.0,0.0,-1.0,2020-02-16,Arizona,4,1,0
8,5.0,0.0,31.0,1.0,-1.0,-1.0,2020-02-16,California,6,7,0
9,8.0,2.0,29.0,3.0,2.0,-1.0,2020-02-16,Illinois,17,2,0
10,6.0,-4.0,3.0,-1.0,0.0,0.0,2020-02-16,Massachusetts,25,1,0
11,8.0,3.0,20.0,4.0,1.0,-1.0,2020-02-16,Texas,48,2,0
12,15.0,3.0,19.0,5.0,-1.0,-1.0,2020-02-16,Washington,53,1,0
13,12.0,6.0,34.0,-1.0,2.0,-2.0,2020-02-16,Wisconsin,55,1,0
14,9.0,1.0,35.0,1.0,-25.0,5.0,2020-02-17,Arizona,4,1,0
15,9.0,1.0,44.0,-12.0,-38.0,8.0,2020-02-17,California,6,7,0
16,2.0,-3.0,-14.0,-13.0,-23.0,6.0,2020-02-17,Illinois,17,2,0
17,11.0,-2.0,32.0,-26.0,-42.0,9.0,2020-02-17,Massachusetts,25,1,0
18,7.0,1.0,13.0,1.0,-14.0,4.0,2020-02-17,Nebraska,31,10,0
19,6.0,2.0,21.0,2.0,-18.0,4.0,2020-02-17,Texas,48,2,0
20,12.0,2.0,63.0,-7.0,-35.0,6.0,2020-02-17,Washington,53,1,0
21,-6.0,-2.0,-1.0,-7.0,-5.0,3.0,2020-02-17,Wisconsin,55,1,0
22,2.0,2.0,14.0,6.0,2.0,0.0,2020-02-18,Arizona,4,1,0
23,0.0,0.0,16.0,3.0,0.0,0.0,2020-02-18,California,6,7,0
24,1.0,-1.0,5.0,2.0,1.0,0.0,2020-02-18,Illinois,17,2,0
25,-4.0,-10.0,-18.0,-4.0,-10.0,3.0,2020-02-18,Massachusetts,25,1,0
26,5.0,2.0,24.0,6.0,2.0,0.0,2020-02-18,Nebraska,31,10,0
27,-1.0,-1.0,-4.0,3.0,1.0,0.0,2020-02-18,Texas,48,2,0
28,5.0,2.0,52.0,7.0,-4.0,0.0,2020-02-18,Washington,53,1,0
29,-1.0,0.0,17.0,3.0,0.0,0.0,2020-02-18,Wisconsin,55,1,0
30,4.0,2.0,14.0,7.0,1.0,0.0,2020-02-19,Arizona,4,1,0
31,0.0,0.0,13.0,1.0,0.0,0.0,2020-02-19,California,6,7,0
32,1.0,-1.0,3.0,2.0,1.0,0.0,2020-02-19,Illinois,17,2,0
33,3.0,-3.0,3.0,-2.0,-10.0,2.0,2020-02-19,Massachusetts,25,1,0
34,-6.0,-3.0,-6.0,-2.0,1.0,1.0,2020-02-19,Nebraska,31,10,0
35,-2.0,0.0,-12.0,0.0,3.0,1.0,2020-02-19,Texas,48,2,0
36,4.0,3.0,60.0,7.0,-2.0,-1.0,2020-02-19,Washington,53,1,0
37,-1.0,0.0,0.0,0.0,2.0,0.0,2020-02-19,Wisconsin,55,1,0
38,5.0,2.0,21.0,5.0,-1.0,0.0,2020-02-20,Arizona,4,1,0
39,2.0,1.0,12.0,1.0,0.0,0.0,2020-02-20,California,6,8,0
40,0.0,0.0,0.0,0.0,2.0,0.0,2020-02-20,Illinois,17,2,0
41,3.0,-2.0,-1.0,-2.0,-8.0,2.0,2020-02-20,Massachusetts,25,1,0
42,1.0,-1.0,4.0,3.0,1.0,1.0,2020-02-20,Nebraska,31,11,0
43,-1.0,-2.0,-13.0,-1.0,1.0,1.0,2020-02-20,Texas,48,2,0
44,4.0,3.0,53.0,5.0,-2.0,0.0,2020-02-20,Washington,53,1,0
45,0.0,-1.0,-2.0,0.0,2.0,0.0,2020-02-20,Wisconsin,55,1,0
46,2.0,1.0,10.0,4.0,0.0,0.0,2020-02-21,Arizona,4,1,0
47,1.0,0.0,8.0,0.0,1.0,0.0,2020-02-21,California,6,9,0
48,2.0,0.0,5.0,5.0,2.0,-1.0,2020-02-21,Illinois,17,2,0
49,0.0,-6.0,-9.0,-3.0,-9.0,3.0,2020-02-21,Massachusetts,25,1,0
50,8.0,3.0,21.0,7.0,2.0,-1.0,2020-02-21,Nebraska,31,11,0
51,2.0,0.0,-2.0,2.0,3.0,-1.0,2020-02-21,Texas,48,4,0
52,3.0,-1.0,55.0,4.0,-1.0,-1.0,2020-02-21,Washington,53,1,0
53,2.0,0.0,9.0,4.0,2.0,1.0,2020-02-21,Wisconsin,55,1,0
54,-2.0,-4.0,-42.0,-6.0,-4.0,3.0,2020-02-22,Arizona,4,1,0
55,0.0,0.0,-3.0,-4.0,1.0,1.0,2020-02-22,California,6,9,0
56,11.0,9.0,57.0,10.0,7.0,-2.0,2020-02-22,Illinois,17,2,0
57,5.0,-2.0,49.0,5.0,1.0,-1.0,2020-02-22,Massachusetts,25,1,0
58,11.0,6.0,73.0,8.0,0.0,-2.0,2020-02-22,Nebraska,31,11,0
59,3.0,1.0,13.0,3.0,4.0,-1.0,2020-02-22,Texas,48,4,0
60,4.0,0.0,44.0,9.0,0.0,-1.0,2020-02-22,Washington,53,1,0
61,11.0,9.0,50.0,9.0,5.0,-2.0,2020-02-22,Wisconsin,55,1,0
62,6.0,1.0,6.0,7.0,1.0,0.0,2020-02-23,Arizona,4,1,0
63,4.0,1.0,16.0,3.0,2.0,0.0,2020-02-23,California,6,9,0
64,11.0,9.0,104.0,7.0,4.0,-2.0,2020-02-23,Illinois,17,2,0
65,9.0,1.0,66.0,6.0,3.0,-1.0,2020-02-23,Massachusetts,25,1,0
66,11.0,6.0,43.0,7.0,5.0,-1.0,2020-02-23,Nebraska,31,11,0
67,4.0,1.0,-11.0,3.0,1.0,0.0,2020-02-23,Texas,48,4,0
68,10.0,0.0,-11.0,3.0,1.0,0.0,2020-02-23,Washington,53,1,0
69,15.0,10.0,65.0,8.0,5.0,-2.0,2020-02-23,Wisconsin,55,1,0
70,5.0,1.0,15.0,5.0,3.0,0.0,2020-02-24,Arizona,4,1,0
71,2.0,0.0,12.0,1.0,4.0,0.0,2020-02-24,California,6,11,0
72,1.0,6.0,-2.0,0.0,2.0,0.0,2020-02-24,Illinois,17,2,0
73,4.0,0.0,51.0,1.0,4.0,-1.0,2020-02-24,Massachusetts,25,1,0
74,4.0,6.0,24.0,4.0,3.0,0.0,2020-02-24,Nebraska,31,12,0
75,2.0,1.0,1.0,2.0,3.0,0.0,2020-02-24,Texas,48,10,0
76,3.0,-1.0,15.0,3.0,4.0,-1.0,2020-02-24,Washington,53,5,0
77,2.0,5.0,9.0,-1.0,3.0,0.0,2020-02-24,Wisconsin,55,1,0
78,5.0,2.0,9.0,7.0,3.0,0.0,2020-02-25,Arizona,4,1,0
79,3.0,1.0,20.0,3.0,3.0,-1.0,2020-02-25,California,6,11,0
80,-1.0,-1.0,-3.0,-3.0,1.0,1.0,2020-02-25,Illinois,17,2,0
81,2.0,-3.0,12.0,2.0,3.0,0.0,2020-02-25,Massachusetts,25,1,0
82,2.0,-3.0,10.0,0.0,1.0,1.0,2020-02-25,Nebraska,31,13,0
83,6.0,2.0,12.0,3.0,3.0,-1.0,2020-02-25,Texas,48,10,0
84,7.0,9.0,22.0,3.0,3.0,-1.0,2020-02-25,Utah,49,1,0
85,6.0,1.0,36.0,5.0,2.0,0.0,2020-02-25,Washington,53,5,0
86,0.0,-1.0,8.0,0.0,2.0,0.0,2020-02-25,Wisconsin,55,1,0
87,9.0,4.0,10.0,9.0,2.0,-1.0,2020-02-26,Arizona,4,1,0
88,5.0,3.0,16.0,3.0,2.0,-1.0,2020-02-26,California,6,26,0
89,0.0,-1.0,-3.0,-1.0,-1.0,1.0,2020-02-26,Illinois,17,2,0
90,5.0,0.0,3.0,5.0,2.0,0.0,2020-02-26,Massachusetts,25,1,0
91,10.0,6.0,15.0,6.0,2.0,-1.0,2020-02-26,Nebraska,31,13,0
92,10.0,6.0,0.0,5.0,4.0,-1.0,2020-02-26,Texas,48,10,0
93,10.0,10.0,26.0,6.0,2.0,-1.0,2020-02-26,Utah,49,1,0
94,9.0,4.0,48.0,7.0,2.0,-1.0,2020-02-26,Washington,53,5,0
95,4.0,1.0,6.0,1.0,2.0,0.0,2020-02-26,Wisconsin,55,1,0
96,9.0,4.0,17.0,6.0,2.0,-1.0,2020-02-27,Arizona,4,1,0
97,5.0,3.0,14.0,3.0,2.0,-1.0,2020-02-27,California,6,26,0
98,6.0,4.0,4.0,2.0,2.0,0.0,2020-02-27,Illinois,17,2,0
99,4.0,0.0,-1.0,5.0,3.0,0.0,2020-02-27,Massachusetts,25,1,0
100,6.0,2.0,14.0,7.0,2.0,0.0,2020-02-27,Nebraska,31,13,0
101,11.0,6.0,25.0,7.0,2.0,-2.0,2020-02-27,Texas,48,10,0
102,10.0,12.0,37.0,8.0,2.0,-1.0,2020-02-27,Utah,49,1,0
103,9.0,4.0,57.0,9.0,2.0,-1.0,2020-02-27,Washington,53,5,0
104,5.0,1.0,5.0,4.0,2.0,0.0,2020-02-27,Wisconsin,55,1,0
105,7.0,5.0,10.0,7.0,3.0,-1.0,2020-02-28,Arizona,4,1,0
106,4.0,4.0,10.0,2.0,3.0,-1.0,2020-02-28,California,6,27,0
107,6.0,4.0,5.0,7.0,0.0,-1.0,2020-02-28,Illinois,17,2,0
108,5.0,1.0,-2.0,7.0,3.0,0.0,2020-02-28,Massachusetts,25,1,0
109,12.0,9.0,33.0,11.0,4.0,-3.0,2020-02-28,Nebraska,31,13,0
110,8.0,4.0,24.0,7.0,3.0,-1.0,2020-02-28,Oregon,41,1,0
111,10.0,8.0,18.0,7.0,1.0,-2.0,2020-02-28,Texas,48,11,0
112,8.0,14.0,48.0,10.0,5.0,-2.0,2020-02-28,Utah,49,1,0
113,7.0,2.0,31.0,6.0,3.0,-2.0,2020-02-28,Washington,53,7,0
114,5.0,0.0,7.0,8.0,2.0,0.0,2020-02-28,Wisconsin,55,1,0
115,6.0,6.0,14.0,7.0,2.0,-2.0,2020-02-29,Arizona,4,1,0
116,4.0,4.0,15.0,1.0,2.0,-1.0,2020-02-29,California,6,28,0
117,14.0,11.0,26.0,10.0,6.0,-3.0,2020-02-29,Illinois,17,3,0
118,9.0,0.0,26.0,11.0,2.0,-1.0,2020-02-29,Massachusetts,25,1,0
119,14.0,11.0,86.0,10.0,2.0,-3.0,2020-02-29,Nebraska,31,13,0
120,7.0,5.0,8.0,6.0,3.0,-1.0,2020-02-29,Oregon,41,1,0
121,10.0,8.0,33.0,9.0,3.0,-3.0,2020-02-29,Texas,48,11,0
122,5.0,12.0,36.0,9.0,4.0,-2.0,2020-02-29,Utah,49,1,0
123,7.0,7.0,31.0,5.0,2.0,-1.0,2020-02-29,Washington,53,10,1
124,14.0,9.0,28.0,10.0,5.0,-2.0,2020-02-29,Wisconsin,55,1,0
125,12.0,7.0,21.0,8.0,3.0,-1.0,2020-03-01,Arizona,4,1,0
126,5.0,3.0,-4.0,-1.0,1.0,0.0,2020-03-01,California,6,33,0
127,8.0,7.0,10.0,7.0,1.0,-1.0,2020-03-01,Florida,12,2,0
128,17.0,15.0,118.0,12.0,4.0,-3.0,2020-03-01,Illinois,17,3,0
129,10.0,4.0,-1.0,11.0,3.0,-1.0,2020-03-01,Massachusetts,25,1,0
130,17.0,13.0,56.0,9.0,6.0,-2.0,2020-03-01,Nebraska,31,13,0
131,10.0,5.0,9.0,0.0,3.0,-1.0,2020-03-01,New York,36,1,0
132,17.0,9.0,23.0,9.0,3.0,-1.0,2020-03-01,Oregon,41,2,0
133,13.0,7.0,-3.0,9.0,5.0,-1.0,2020-03-01,Rhode Island,44,2,0
134,14.0,9.0,6.0,7.0,2.0,-2.0,2020-03-01,Texas,48,11,0
135,2.0,8.0,-17.0,5.0,-1.0,1.0,2020-03-01,Utah,49,1,0
136,18.0,10.0,27.0,9.0,2.0,-1.0,2020-03-01,Washington,53,17,3
137,19.0,12.0,90.0,11.0,5.0,-3.0,2020-03-01,Wisconsin,55,1,0
138,8.0,4.0,4.0,4.0,3.0,0.0,2020-03-02,Arizona,4,1,0
139,6.0,6.0,8.0,0.0,4.0,-1.0,2020-03-02,California,6,38,0
140,7.0,7.0,8.0,3.0,1.0,0.0,2020-03-02,Florida,12,2,0
141,4.0,3.0,-9.0,0.0,2.0,0.0,2020-03-02,Georgia,13,2,0
142,8.0,8.0,20.0,0.0,-1.0,0.0,2020-03-02,Illinois,17,4,0
143,7.0,5.0,21.0,2.0,3.0,0.0,2020-03-02,Massachusetts,25,2,0
144,9.0,8.0,28.0,3.0,3.0,-1.0,2020-03-02,Nebraska,31,13,0
145,6.0,3.0,11.0,9.0,3.0,-1.0,2020-03-02,New Hampshire,33,1,0
146,6.0,5.0,16.0,-1.0,4.0,0.0,2020-03-02,New York,36,1,0
147,8.0,7.0,14.0,2.0,3.0,0.0,2020-03-02,Oregon,41,2,0
148,9.0,7.0,34.0,-1.0,3.0,-1.0,2020-03-02,Rhode Island,44,2,0
149,8.0,7.0,8.0,4.0,4.0,-1.0,2020-03-02,Texas,48,11,0
150,10.0,16.0,11.0,5.0,3.0,-1.0,2020-03-02,Utah,49,1,0
151,4.0,8.0,-7.0,-3.0,2.0,0.0,2020-03-02,Washington,53,23,6
152,5.0,5.0,19.0,0.0,4.0,0.0,2020-03-02,Wisconsin,55,1,0
153,9.0,8.0,11.0,6.0,3.0,-1.0,2020-03-03,Arizona,4,2,0
154,8.0,9.0,30.0,2.0,3.0,-1.0,2020-03-03,California,6,45,0
155,8.0,10.0,10.0,3.0,2.0,0.0,2020-03-03,Florida,12,3,0
156,10.0,11.0,0.0,0.0,1.0,0.0,2020-03-03,Georgia,13,2,0
157,10.0,10.0,21.0,2.0,2.0,-1.0,2020-03-03,Illinois,17,4,0
158,11.0,6.0,49.0,4.0,1.0,-1.0,2020-03-03,Massachusetts,25,2,0
159,10.0,10.0,55.0,1.0,2.0,-1.0,2020-03-03,Nebraska,31,13,0
160,8.0,6.0,43.0,16.0,2.0,-1.0,2020-03-03,New Hampshire,33,2,0
161,4.0,6.0,6.0,0.0,4.0,0.0,2020-03-03,New York,36,2,0
162,13.0,9.0,24.0,3.0,2.0,0.0,2020-03-03,North Carolina,37,1,0
163,10.0,12.0,40.0,2.0,1.0,-1.0,2020-03-03,Oregon,41,2,0
164,9.0,6.0,61.0,2.0,2.0,-1.0,2020-03-03,Rhode Island,44,2,0
165,12.0,10.0,17.0,3.0,3.0,-2.0,2020-03-03,Texas,48,11,0
166,10.0,16.0,35.0,2.0,0.0,0.0,2020-03-03,Utah,49,1,0
167,6.0,11.0,23.0,-2.0,-1.0,1.0,2020-03-03,Washington,53,32,10
168,7.0,5.0,16.0,4.0,0.0,0.0,2020-03-03,Wisconsin,55,1,0
169,8.0,8.0,17.0,7.0,2.0,-1.0,2020-03-04,Arizona,4,2,0
170,4.0,6.0,15.0,-1.0,2.0,0.0,2020-03-04,California,6,55,1
171,6.0,6.0,14.0,1.0,1.0,0.0,2020-03-04,Florida,12,3,0
172,3.0,0.0,-19.0,-2.0,0.0,1.0,2020-03-04,Georgia,13,2,0
173,9.0,10.0,28.0,4.0,2.0,-1.0,2020-03-04,Illinois,17,4,0
174,4.0,3.0,5.0,0.0,2.0,0.0,2020-03-04,Massachusetts,25,2,0
175,12.0,11.0,58.0,8.0,2.0,-2.0,2020-03-04,Nebraska,31,13,0
176,5.0,2.0,-4.0,7.0,2.0,0.0,2020-03-04,New Hampshire,33,2,0
177,8.0,7.0,36.0,2.0,2.0,-1.0,2020-03-04,New Jersey,34,1,0
178,7.0,8.0,16.0,0.0,3.0,0.0,2020-03-04,New York,36,11,0
179,9.0,5.0,14.0,3.0,2.0,-1.0,2020-03-04,North Carolina,37,1,0
180,10.0,9.0,57.0,6.0,1.0,-1.0,2020-03-04,Oregon,41,2,0
181,9.0,3.0,21.0,-1.0,1.0,-1.0,2020-03-04,Rhode Island,44,2,0
182,6.0,5.0,-10.0,0.0,2.0,1.0,2020-03-04,Texas,48,12,0
183,9.0,16.0,50.0,6.0,2.0,-1.0,2020-03-04,Utah,49,1,0
184,5.0,9.0,56.0,-2.0,-2.0,0.0,2020-03-04,Washington,53,47,11
185,8.0,5.0,26.0,5.0,2.0,-1.0,2020-03-04,Wisconsin,55,1,0
186,9.0,6.0,22.0,5.0,2.0,-1.0,2020-03-05,Arizona,4,2,0
187,5.0,7.0,11.0,-1.0,2.0,0.0,2020-03-05,California,6,67,1
188,8.0,10.0,33.0,0.0,2.0,-1.0,2020-03-05,Colorado,8,2,0
189,5.0,5.0,8.0,2.0,1.0,0.0,2020-03-05,Florida,12,4,0
190,1.0,0.0,-30.0,-1.0,-1.0,2.0,2020-03-05,Georgia,13,2,0
191,7.0,8.0,21.0,2.0,3.0,-1.0,2020-03-05,Illinois,17,5,0
192,6.0,4.0,29.0,1.0,3.0,-1.0,2020-03-05,Maryland,24,3,0
193,7.0,7.0,30.0,1.0,4.0,-1.0,2020-03-05,Massachusetts,25,3,0
194,8.0,6.0,23.0,8.0,1.0,-1.0,2020-03-05,Nebraska,31,13,0
195,6.0,10.0,13.0,1.0,1.0,-1.0,2020-03-05,Nevada,32,2,0
196,6.0,7.0,25.0,8.0,4.0,0.0,2020-03-05,New Hampshire,33,2,0
197,7.0,9.0,39.0,3.0,2.0,-1.0,2020-03-05,New Jersey,34,2,0
198,8.0,9.0,21.0,0.0,4.0,-1.0,2020-03-05,New York,36,22,0
199,6.0,4.0,-4.0,2.0,1.0,0.0,2020-03-05,North Carolina,37,1,0
200,7.0,8.0,38.0,4.0,1.0,-1.0,2020-03-05,Oregon,41,2,0
201,8.0,3.0,54.0,4.0,2.0,-1.0,2020-03-05,Rhode Island,44,2,0
202,11.0,10.0,33.0,7.0,1.0,-2.0,2020-03-05,Tennessee,47,1,0
203,11.0,8.0,34.0,5.0,3.0,-2.0,2020-03-05,Texas,48,16,0
204,10.0,16.0,65.0,5.0,2.0,-1.0,2020-03-05,Utah,49,1,0
205,2.0,7.0,21.0,-8.0,-6.0,2.0,2020-03-05,Washington,53,75,11
206,4.0,2.0,7.0,4.0,2.0,0.0,2020-03-05,Wisconsin,55,1,0
207,6.0,6.0,20.0,8.0,1.0,-1.0,2020-03-06,Arizona,4,3,0
208,2.0,5.0,7.0,-4.0,2.0,0.0,2020-03-06,California,6,81,1
209,6.0,10.0,39.0,1.0,2.0,-1.0,2020-03-06,Colorado,8,8,0
210,3.0,3.0,9.0,-1.0,1.0,0.0,2020-03-06,Florida,12,7,2
211,7.0,3.0,44.0,5.0,1.0,-2.0,2020-03-06,Georgia,13,3,0
212,-1.0,1.0,-8.0,-3.0,2.0,0.0,2020-03-06,Hawaii,15,1,0
213,6.0,5.0,17.0,4.0,2.0,-1.0,2020-03-06,Illinois,17,6,0
214,5.0,0.0,10.0,8.0,1.0,0.0,2020-03-06,Indiana,18,1,0
215,5.0,5.0,12.0,2.0,1.0,0.0,2020-03-06,Kentucky,21,1,0
216,1.0,0.0,3.0,-3.0,2.0,1.0,2020-03-06,Maryland,24,3,0
217,2.0,2.0,1.0,-1.0,3.0,1.0,2020-03-06,Massachusetts,25,8,0
218,6.0,6.0,6.0,3.0,-1.0,0.0,2020-03-06,Minnesota,27,1,0
219,11.0,9.0,51.0,14.0,1.0,-2.0,2020-03-06,Nebraska,31,14,0
220,3.0,7.0,14.0,-2.0,2.0,0.0,2020-03-06,Nevada,32,2,0
221,1.0,-1.0,3.0,3.0,3.0,1.0,2020-03-06,New Hampshire,33,2,0
222,-2.0,0.0,-6.0,-3.0,2.0,2.0,2020-03-06,New Jersey,34,4,0
223,-1.0,0.0,-11.0,-3.0,3.0,1.0,2020-03-06,New York,36,44,0
224,6.0,2.0,19.0,6.0,2.0,-1.0,2020-03-06,North Carolina,37,2,0
225,9.0,4.0,46.0,10.0,3.0,-2.0,2020-03-06,Oklahoma,40,1,0
226,1.0,2.0,-3.0,-1.0,1.0,1.0,2020-03-06,Oregon,41,2,0
227,1.0,0.0,-7.0,-1.0,1.0,1.0,2020-03-06,Pennsylvania,42,2,0
228,4.0,-3.0,8.0,-1.0,3.0,1.0,2020-03-06,Rhode Island,44,3,0
229,9.0,5.0,21.0,12.0,2.0,-2.0,2020-03-06,South Carolina,45,2,0
230,5.0,4.0,25.0,6.0,0.0,-1.0,2020-03-06,Tennessee,47,1,0
231,6.0,7.0,21.0,6.0,3.0,-2.0,2020-03-06,Texas,48,19,0
232,7.0,15.0,61.0,4.0,5.0,-1.0,2020-03-06,Utah,49,3,0
233,-2.0,2.0,13.0,-12.0,-8.0,3.0,2020-03-06,Washington,53,86,12
234,5.0,2.0,15.0,8.0,3.0,0.0,2020-03-06,Wisconsin,55,1,0
235,4.0,5.0,18.0,9.0,1.0,-2.0,2020-03-07,Arizona,4,5,0
236,0.0,4.0,0.0,-6.0,2.0,1.0,2020-03-07,California,6,100,1
237,6.0,13.0,49.0,4.0,3.0,-2.0,2020-03-07,Colorado,8,8,0
238,1.0,3.0,8.0,3.0,0.0,-1.0,2020-03-07,District of Columbia,11,1,0
239,4.0,3.0,13.0,2.0,2.0,-1.0,2020-03-07,Florida,12,12,2
240,10.0,5.0,79.0,9.0,5.0,-2.0,2020-03-07,Georgia,13,7,0
241,0.0,4.0,4.0,-4.0,1.0,0.0,2020-03-07,Hawaii,15,1,0
242,14.0,14.0,75.0,13.0,7.0,-3.0,2020-03-07,Illinois,17,6,0
243,18.0,13.0,85.0,19.0,5.0,-3.0,2020-03-07,Indiana,18,1,0
244,10.0,7.0,101.0,18.0,6.0,-3.0,2020-03-07,Kansas,20,1,0
245,15.0,16.0,85.0,15.0,4.0,-2.0,2020-03-07,Kentucky,21,1,0
246,6.0,6.0,34.0,4.0,4.0,-1.0,2020-03-07,Maryland,24,3,0
247,7.0,3.0,24.0,0.0,1.0,-1.0,2020-03-07,Massachusetts,25,13,0
248,7.0,9.0,21.0,7.0,3.0,-1.0,2020-03-07,Minnesota,27,1,0
249,12.0,14.0,114.0,13.0,7.0,-3.0,2020-03-07,Missouri,29,1,0
250,11.0,12.0,84.0,13.0,0.0,-2.0,2020-03-07,Nebraska,31,14,0
251,2.0,5.0,0.0,0.0,0.0,0.0,2020-03-07,Nevada,32,2,0
252,7.0,2.0,15.0,9.0,4.0,-1.0,2020-03-07,New Hampshire,33,4,0
253,9.0,9.0,45.0,2.0,6.0,-1.0,2020-03-07,New Jersey,34,4,0
254,10.0,8.0,17.0,0.0,6.0,-1.0,2020-03-07,New York,36,89,0
255,9.0,4.0,49.0,8.0,2.0,-2.0,2020-03-07,North Carolina,37,2,0
256,10.0,11.0,61.0,15.0,4.0,-2.0,2020-03-07,Oklahoma,40,1,0
257,5.0,3.0,16.0,4.0,3.0,0.0,2020-03-07,Oregon,41,6,0
258,10.0,6.0,26.0,7.0,3.0,-1.0,2020-03-07,Pennsylvania,42,4,0
259,5.0,-1.0,35.0,-3.0,2.0,0.0,2020-03-07,Rhode Island,44,3,0
260,11.0,7.0,53.0,18.0,3.0,-2.0,2020-03-07,South Carolina,45,2,0
261,12.0,10.0,88.0,15.0,6.0,-3.0,2020-03-07,Tennessee,47,1,0
262,5.0,7.0,21.0,11.0,3.0,-2.0,2020-03-07,Texas,48,19,0
263,5.0,13.0,47.0,7.0,3.0,-1.0,2020-03-07,Utah,49,3,0
264,10.0,0.0,28.0,25.0,2.0,-1.0,2020-03-07,Vermont,50,1,0
265,6.0,8.0,27.0,8.0,1.0,-1.0,2020-03-07,Virginia,51,1,0
266,-3.0,1.0,18.0,-6.0,-1.0,1.0,2020-03-07,Washington,53,110,16
267,14.0,11.0,52.0,15.0,6.0,-2.0,2020-03-07,Wisconsin,55,1,0
268,9.0,4.0,22.0,7.0,1.0,-2.0,2020-03-08,Arizona,4,5,0
269,2.0,3.0,11.0,-4.0,1.0,0.0,2020-03-08,California,6,112,1
270,8.0,12.0,37.0,1.0,2.0,0.0,2020-03-08,Colorado,8,8,0
271,8.0,3.0,55.0,10.0,2.0,0.0,2020-03-08,Connecticut,9,1,0
272,11.0,5.0,33.0,9.0,1.0,-1.0,2020-03-08,District of Columbia,11,1,0
273,4.0,3.0,-1.0,1.0,0.0,1.0,2020-03-08,Florida,12,13,2
274,8.0,4.0,57.0,4.0,1.0,-1.0,2020-03-08,Georgia,13,11,0
275,0.0,2.0,3.0,-2.0,1.0,1.0,2020-03-08,Hawaii,15,2,0
276,15.0,14.0,165.0,10.0,3.0,-2.0,2020-03-08,Illinois,17,7,0
277,15.0,12.0,161.0,17.0,3.0,-2.0,2020-03-08,Indiana,18,2,0
278,18.0,28.0,140.0,17.0,5.0,-3.0,2020-03-08,Iowa,19,3,0
279,19.0,9.0,47.0,18.0,2.0,-1.0,2020-03-08,Kansas,20,1,0
280,13.0,13.0,136.0,11.0,1.0,-2.0,2020-03-08,Kentucky,21,4,0
281,7.0,6.0,100.0,5.0,2.0,-1.0,2020-03-08,Maryland,24,5,0
282,9.0,5.0,47.0,0.0,2.0,0.0,2020-03-08,Massachusetts,25,28,0
283,13.0,12.0,93.0,7.0,2.0,-2.0,2020-03-08,Minnesota,27,2,0
284,20.0,16.0,119.0,14.0,5.0,-2.0,2020-03-08,Missouri,29,1,0
285,13.0,13.0,90.0,15.0,3.0,-2.0,2020-03-08,Nebraska,31,16,0
286,4.0,7.0,22.0,0.0,0.0,0.0,2020-03-08,Nevada,32,4,0
287,9.0,3.0,45.0,20.0,3.0,-1.0,2020-03-08,New Hampshire,33,4,0
288,8.0,6.0,116.0,2.0,2.0,0.0,2020-03-08,New Jersey,34,6,0
289,10.0,7.0,61.0,0.0,2.0,-1.0,2020-03-08,New York,36,106,0
290,9.0,4.0,41.0,8.0,0.0,-1.0,2020-03-08,North Carolina,37,2,0
291,7.0,5.0,4.0,11.0,2.0,0.0,2020-03-08,Oklahoma,40,1,0
292,10.0,5.0,24.0,5.0,1.0,0.0,2020-03-08,Oregon,41,13,0
293,15.0,9.0,127.0,8.0,1.0,-2.0,2020-03-08,Pennsylvania,42,6,0
294,11.0,-1.0,68.0,4.0,4.0,-1.0,2020-03-08,Rhode Island,44,3,0
295,12.0,7.0,38.0,24.0,2.0,-1.0,2020-03-08,South Carolina,45,6,0
296,13.0,11.0,81.0,13.0,2.0,-2.0,2020-03-08,Tennessee,47,3,0
297,9.0,4.0,11.0,6.0,0.0,-1.0,2020-03-08,Texas,48,23,0
298,11.0,15.0,20.0,5.0,1.0,-1.0,2020-03-08,Utah,49,3,0
299,13.0,11.0,49.0,13.0,4.0,-2.0,2020-03-08,Vermont,50,1,0
300,7.0,8.0,62.0,7.0,0.0,-1.0,2020-03-08,Virginia,51,2,0
301,7.0,2.0,34.0,-5.0,-2.0,1.0,2020-03-08,Washington,53,141,19
302,18.0,13.0,133.0,15.0,4.0,-2.0,2020-03-08,Wisconsin,55,1,0
303,9.0,4.0,32.0,4.0,-7.0,0.0,2020-03-09,Arizona,4,6,0
304,3.0,6.0,12.0,-7.0,1.0,1.0,2020-03-09,California,6,172,2
305,6.0,11.0,46.0,1.0,8.0,-1.0,2020-03-09,Colorado,8,12,0
306,9.0,8.0,95.0,2.0,2.0,-1.0,2020-03-09,Connecticut,9,2,0
307,6.0,5.0,31.0,0.0,1.0,1.0,2020-03-09,District of Columbia,11,4,0
